city,country,lat,lon,temp,humidity,cloudiness,wind speed
Bluff,NZ,-46.6,168.33,52.0,90,10,1.99
East London,ZA,-33.02,27.91,69.51,85,89,8.23
Punta Arenas,CL,-53.15,-70.92,50.0,81,75,11.41
Busselton,AU,-33.65,115.33,46.49,73,0,10.83
Mataura,NZ,-46.19,168.86,52.0,90,0,1.99
Bredasdorp,ZA,-34.53,20.04,68.0,82,96,5.82
Tamandaré,BR,-8.76,-35.1,79.41,76,0,12.37
Vieux-Habitants,GP,16.06,-61.77,84.2,66,75,12.75
San Carlos del Zulia,VE,9.0,-71.91,88.36,59,80,1.97
Carberry,CA,49.87,-99.36,57.2,37,20,16.11
Tiksi,RU,71.69,128.87,8.6,95,100,2.3
Tuktoyaktuk,CA,69.45,-133.04,10.4,85,90,12.75
Barrow,US,71.29,-156.79,10.4,72,90,13.87
Puerto Ayora,EC,-0.74,-90.35,71.98,73,75,12.75
Buala,SB,-8.14,159.59,81.23,78,60,3.42
Acapulco de Juárez,MX,16.86,-99.89,87.8,66,20,9.17
Beringovskiy,RU,63.05,179.32,18.84,85,100,7.54
Rikitea,PF,-23.12,-134.97,72.79,70,0,15.5
New Norfolk,AU,-42.78,147.06,67.23,64,55,1.99
Cravo Norte,CO,6.3,-70.2,86.0,67,81,9.48
Banda Aceh,ID,5.56,95.32,78.91,77,96,5.23
Atbasar,KZ,51.8,68.33,27.57,94,8,0.96
Ushuaia,AR,-54.8,-68.3,53.6,62,75,3.36
Albany,US,42.6,-73.97,39.61,62,89,3.0
Hervey Bay,AU,-25.3,152.85,64.0,81,16,8.9
Hithadhoo,MV,-0.6,73.08,82.53,73,100,6.96
San Policarpo,PH,12.18,125.51,79.0,83,100,6.93
Jamestown,US,42.1,-79.24,48.92,70,20,11.41
Pevek,RU,69.7,170.31,3.56,91,31,9.86
Dawlatabad,AF,36.41,64.91,48.27,41,0,2.28
Poya,NC,-21.35,165.15,74.98,82,100,5.35
Timbiquí,CO,2.77,-77.67,81.3,77,80,10.16
Cape Town,ZA,-33.93,18.42,65.77,88,20,11.41
Vaini,TO,-21.2,-175.2,77.0,83,20,10.29
Willowmore,ZA,-33.29,23.49,71.38,39,31,6.46
Tupelo,US,34.26,-88.7,66.34,32,1,4.7
Castro,BR,-24.79,-50.01,70.47,43,39,3.06
Chokurdakh,RU,70.63,147.92,-15.59,84,0,6.42
La Ronge,CA,55.1,-105.28,49.1,53,97,2.24
Ahipara,NZ,-35.17,173.17,65.05,86,100,11.7
Yellowknife,CA,62.46,-114.35,5.0,77,75,10.29
Ilulissat,GL,69.22,-51.1,42.8,60,75,29.97
George Town,MY,5.41,100.34,77.41,94,20,3.62
Plouzané,FR,48.38,-4.62,44.6,93,38,2.24
Saint George,US,37.1,-113.58,73.4,35,1,8.05
Aktau,KZ,43.65,51.2,53.6,81,40,2.24
Hobart,AU,-42.88,147.33,69.46,52,75,10.29
Pervomayskoye,RU,43.92,46.71,53.19,50,0,3.33
Arraial do Cabo,BR,-22.97,-42.03,73.4,60,75,14.99
Port Hedland,AU,-20.32,118.57,71.6,88,0,9.17
Kavieng,PG,-2.57,150.8,83.26,76,100,8.61
Benalla,AU,-36.55,145.98,58.8,100,94,3.36
Aguié,NE,13.51,7.78,83.8,18,14,10.4
Noumea,NC,-22.28,166.46,74.3,94,90,3.36
Great Falls,US,47.5,-111.3,70.11,14,1,25.28
Iqaluit,CA,63.75,-68.51,14.0,85,75,19.46
Souillac,MU,-20.52,57.52,71.6,68,75,8.05
Klaksvík,FO,62.23,-6.59,41.0,80,100,29.97
Port Alfred,ZA,-33.59,26.89,65.77,90,31,5.41
Alexander City,US,32.94,-85.95,68.0,24,1,4.7
Atasū,KZ,48.68,71.64,26.92,95,0,6.96
Kapaa,US,22.08,-159.32,80.46,78,90,10.29
Yekepa,LR,7.58,-8.54,72.46,86,4,3.36
Kattivākkam,IN,13.22,80.32,80.6,83,40,2.24
Gizo Government Station,SB,-8.1,156.84,82.36,77,100,8.19
Tautira,PF,-17.73,-149.15,84.09,66,75,13.87
Carnarvon,AU,-24.87,113.63,66.2,82,0,16.11
Qaanaaq,GL,77.48,-69.36,4.17,81,3,5.91
Sladkovo,RU,55.53,70.34,26.69,94,14,7.45
Kursk,RU,51.73,36.19,42.8,100,75,2.24
Ciudad Bolivar,VE,8.12,-63.55,84.45,69,93,9.6
Thompson,CA,55.74,-97.86,21.2,100,90,2.24
Tasiilaq,GL,65.61,-37.64,30.2,100,100,24.16
Korla,CN,41.76,86.15,38.03,67,0,3.18
Ribeira Grande,PT,38.52,-28.7,62.6,59,40,14.99
Butaritari,KI,3.07,172.79,80.73,73,51,17.83
Vostok,RU,46.49,135.88,11.48,96,100,12.55
